Developer,Game,Released,Region,Platform,Delisted,Branch Script
Team Psykskallar,Cry of Fear,2013-04-26,WW,Steam,,valve.goldsrc
LadyHavoc,DarkPlaces,2000-11-04,WW,PC,,id_software.quake
,D-Day Normandy,2000-??-??,??,PC,,id_software.quake2
800 North;Digital Ranch,Dino D-Day,2011-04-09,WW,Steam,,valve.sdk_2013
Double Action Factory,Double Action: Boogaloo,2014-10-23,WW,Steam;Steam OS,,valve.orange_box
Breadmen,Entropy : Zero 2,2022-08-21,WW,Steam,,valve.orange_box
Streum On Studio,E.Y.E.: Divine Cybermancy,2011-07-11,WW,Steam,,valve.orange_box
Fistful of Frags Team,Fistful of Frags,2014-05-09,WW,Steam,,valve.orange_box
Trepid Studios,Fortress Forever,2015-03-27,WW,Steam,,valve.orange_box
Eyaura,G-String (Beta),2011-12-19,WW,PC,,valve.orange_box
Eyaura,G-String: Day One,2013-??-??,WW,PC,,valve.orange_box
Eyaura,G-String,2020-10-16,WW,Steam,,valve.orange_box
Eyaura,G-String: Ultimate Edition,Not Yet,WW,Steam
LunchHouse Software,PUNT,Not Yet,WW,Steam
Facepunch Studios Ltd.,Garry's Mod,2006-11-29,WW,Steam,,valve.orange_box
Source VR Mod Team,Half-Life 2: VR Mod,2022-09-17,WW,Steam,,valve.source
muddasheep,Halfquake,2001-04-19,WW,PC,,valve.goldsrc
muddasheep,Halfquake Amen,2002-09-01,WW,PC,,valve.goldsrc
muddasheep,Halfquake Sunrise,2010-07-03,WW,PC,,valve.goldsrc
Philipp Lehner,Halfquake Trilogy,2018-10-06,WW,Steam,,valve.goldsrc
Loiste Interactive,INFRA,2016-01-16,WW,Steam,,loiste.infra
2015 Inc.,Medal of Honor: Allied Assault (Demo),,??,PC,,ritual.mohaa_demo
2015 Inc.,Medal of Honor: Allied Assault,2002-01-20,NA,PC,,ritual.mohaa
EA Los Angeles,Medal of Honor: Allied Assault - Spearhead,2002-11-12,NA;JP,PC,,ritual.mohaa
EA Los Angeles,Medal of Honor: Allied Assault - Breakthrough,2003-09-22,NA,PC,,ritual.mohaa_bt
EA Los Angeles,Medal of Honor: Allied Assault - Breakthrough,2003-09-25,JP,PC,,ritual.mohaa_bt
2015 Inc.,Medal of Honor: Allied Assault - Deluxe Edition,2003-09-05,NA,PC,,ritual.mohaa
2015 Inc.,Medal of Honor: Allied Assault - War Chest,2004-03-02,NA,PC,,ritual.mohaa
2015 Inc.,Medal of Honor: Allied Assault - War Chest,2012-10-23,WW,GOG,,ritual.mohaa
Utoplanet,MeruBasu,2017-02-14,WW,PC,2017-07-18,utoplanet.merubasu
Momentum Team,Momentum Mod Playtest (Closed Beta),,WW,Steam,,strata.strata
Momentum Team,Momentum Mod,Not Yet,WW,Steam,,strata.strata
P2:CE Team,Portal 2: Community Edition,Not Yet,WW,Steam,,strata.strata
Unknown Worlds,Natural Selection,2002-10-31,WW,PC,,valve.goldsrc
Studio Radi-8,NEOTOKYO,2014-07-04,WW,Steam,,valve.orange_box
,Nexuiz Classic,2005-05-31,WW,PC,,id_software.quake3
,Nexuiz,2012-02-29,WW,Xbox 360
No More Room in Hell Team,No More Room in Hell,2013-10-31,WW,Steam,,valve.orange_box
,Nosferatu,Never,??,PC,,id_software.qfusion
,Qbism,Never,??,PC,,id_software.qbism
,TFORevive,Not Yet,WW,PC,,respawn.titanfall
Machine Games,Quake: Dimension of the Past,2016-06-24,WW,PC,,id_software.remake_quake
Machine Games,Quake II: Call of the Machine,2023-08-10,WW,Steam;Switch;PS4;PS5;XBOne;XBOneX;XBOneS,,id_software.qbism
Nightdive,Quake 64,2021-08-20,WW,PC,,id_software.quake64
Nightdive,Quake II 64,2023-08-10,WW,Steam;Switch;PS4;PS5;XBOne;XBOneX;XBOneS,,id_software.quake2
Gray Matter Studios,Return to Castle Wolfenstein,2001-11-19,WW,PC,,id_software.quake3
Gray Matter Studios,Return to Castle Wolfenstein,2007-08-03,WW,Steam,,id_software.quake3
WolfETPlayer,RealRTCW,2020-10-16,WW,Steam,,id_software.quake3
Outerlight Limited,The Ship,2006-07-11,WW,Steam,,outerlight.outerlight
Sven Co-op Team,Sven Co-op,2016-01-22,WW,Steam,,valve.goldsrc
Synergy Team,Synergy,2005-09-01,WW,Steam,,valve.source
FIX Games Co. Ltd.,Tactical Intervention (Beta),2013-03-??,WW,PC,2013-06-10,valve.orange_box
FIX Games Co. Ltd.,Tactical Intervention,2013-10-08,WW,Steam,2017-12-05,valve.orange_box
TF Software,Team Fortress Quake,1996-08-24,WW,PC,,id_software.quake
Everything Unlimited Ltd.,The Beginner's Guide,2015-10-01,WW,Steam,,valve.sdk_2013
Galactic Cafe,The Stanley Parable,2013-10-17,WW,Steam,,valve.sdk_2013
Troika Games L.L.C.,Vampire: The Masquerade - Bloodlines,2004-11-16,WW,Steam,,troika.vampire
Team Forbidden,Warfork,2019-08-16,WW,Steam,,id_software.qfusion
Warsow Team,Warsow,2006-05-26,WW,Linux,,id_software.qfusion
Splash Damage Ltd,Wolfenstein: Enemy Territory,2003-05-28,WW,PC,,id_software.quake3
KillPixel Games,WRATH: Aeon of Ruin,2019-11-22,WW,Steam,,id_software.quake3
,Xonotic,2011-09-08,WW,PC;Linux;Mac OS,,id_software.quake3
ACE Team,Zeno Clash (Demo),,WW,Steam,,ace_team.zeno_clash
ACE Team,Zeno Clash,2009-04-21,WW,Steam,,ace_team.zeno_clash
ACE Team,Zeno Clash: Ultimate Edition,2010-05-05,WW,Xbox 360
Ion Storm,Daikatana,2000-05-23,NA,PC,,ion_storm.daikatana
Ion Storm,Anachronox,2001-06-27,NA,PC,,id_software.quake2
Second Face Software,Portal: Revolution,2024-01-07,WW,Steam,,strata.strata
Davilex Games B.V.,AmsterDoom,2000-??-??,NL,PC,,wild_tangent.genesis3d
